name,location,city,state,country,start date,end date,latitude,longtitude,advance rates,atDoorRates,All,Thu,Fri,Sat,Sun,site url,register now url,description
Evercon,D.C. Everest Junior High School,Weston,WI,USA,2016-01-15,2016-01-16,44.899694,-89.60578,,Both days: $15," $15",,,,,http://evercon.org/,,"EVERCON is central Wisconsin's largest gaming and anime convention. It is run by advisers and students from the D.C. Everest Gaming Club. In addition, EVERCON is unique in that it is one of the largest public gaming and anime conventions hosted and run within a K-12 school district in the United States."
Anime-Zap!,Embassy Suites East Peoria - Hotel & Riverfront Conference Center,East Peoria,IL,USA,2016-01-08,2016-01-10,40.68305,-89.590303,"$25 through Aug 30, 2015
$30 through Oct 30, 2015
$34 through Nov 30, 2015
$35 through Jan 11, 2018",,,,,,,http://animezapcon.com/,http://animezapcon.com/registration,"Anime-ZAP! brings together over 1,000+ anime fans for a three-day anime convention celebration. Our Illinois anime convention has over fifty events every year, and we'll be adding special guests, more panels, and more activities than ever this year."
Arisia,Westin Boston Waterfront,Boston,MA,USA,2016-01-15,2016-01-18,42.345983,-71.043504,,,,,,,,http://arisia.org/,http://arisia.org/Registration,"Arisia is a volunteer-run convention that covers all aspects of science fiction and fantasy literature and media. We strive to create a big tent environment that builds community among the varied groups and interests within fandom. Arisia, Inc is a 501(c3) non-profit educational organization.
Arisia does not discriminate on the basis of race, religion, gender or sexual orientation, planetary origin, or disability status. However our Code of Conduct applies to all sentient life-forms."
AOD,Santa Clara Convention Center,Santa Clara,CA,USA,2016-02-13,2016-02-14,37.4045277,-121.9760023,"$22.09 through Oct 23, 2015
$26.62 through Nov 1, 2015
$37.92 through Jan 19",Both days: $40," $40",,,,,http://aodsf.org/,http://aodsf.org/reg/,"AOD is a weekend convention celebrating anime, video games, cartoons, and other fun and geeky stuff."
KotoriCon,Rowan College at Gloucester County,Sewell,NJ,USA,2016-01-08,2016-01-09,39.780818,-75.121239,$32.64 through Jan 9,Not available at the door,Not available at the door,,,,,http://kotoricon.org/,https://kotoricon2016.eventbrite.com,"Kotoricon is coming back for our 7th year as the ""little anime con with a big heart"". This is a fan con run by students as a charity fundraiser. This year our theme is ""FOOD""! All tickets are pre-reg only. No tickets are available at the door."
Kinda!Con Artist Expo,American Legion Post #238,Woodland Park,NJ,USA,2016-03-05,2016-03-005,40.8907379,-74.2025418,,$5,$5,,,,,http://kindaconartexpo.wix.com/kindacon,,"Kinda!Con is an artist showcase that was put in place by a few Animation/Illustration majors that wanted to make a change in their community. This event gives local artists the opportunity to showcase their talents and to connect with other artists and future employers in their prospective fields. Kinda!Con wants to give EVERY artist a confidence boost and make something exciting for families and art lovers in our area to look forward to. By supporting local artists and businesses, you bring your community to life. Plus, who doesn't love to collect games and comics, dress up in awesome cosplay, and dance awkwardly with friends in a poorly lit room? It's our turn to make the rules - and we're really going for it! Long live dorks, and long live the Con!"
ETSU-Con,"East Tennessee State University, Culp Center",Johnson City,TN,USA,2016-02-27,2016-02-28,36.301378,-82.366825,$25 through Jan 1,"Both days: $30
Sat: $20
Sun: $15"," $30",,," $20"," $15",http://www.etsu.edu/students/sorc/organizations/etsucon/,http://www.etsu.edu/students/sorc/organizations/etsucon/ticketinformation.aspx,"On February 27th-28th, 2016, East Tennessee State University will welcome Artists, Vendors, Voice actors, ETSU faculty and alumni, current and prospective students interested in digital media, computer science, Japanese Language and Culture, Art, Theatre, and more, and fans of Anime, Sci-Fi, Comics, Fantasy, and Video Games from around the region to the amazing, Fourth-year, annual multi-genre convention in Johnson City, TN known as ETSU-Con!"
Tampa Anime Day,Embassy Suites Tampa - Brandon,Tampa,FL,USA,2016-01-09,2016-01-009,27.940991,-82.332101,,$4,$4,,,,,http://tampa.animeday.net/,,"We are the one day anime marketplace that brings all your anime/manga needs to you without all the hassle or extra expense associated with other conventions. Admission is only $4.00 at the door so you won't have to spend all your money just to get inside of our show. Also we are proud to announce that those in the military as well as kids 10 and under will get in FREE! Tampa Anime Day features an over 2,000 sq ft dealers room, Video/Event room, Video Games, prize giveaways, cosplay contest, and other activities. Come by and do some otaku shopping or just hang out with other local fans."
Sac-Anime,Sacramento Convention Center,Sacramento,CA,USA,2016-01-01,2016-01-03,38.578676,-121.488941,"$31 through Oct 25, 2015
$36 through Dec 6, 2015
$41 through Dec 20, 2015","All 3 days: $45
Fri: $30
Sat: $40
Sun: $25"," $45",," $30"," $40"," $25",http://sacanime.com/,http://www.sacanime.com/?page_id=88,"SacAnime is the show where ""Fans Come to Play"". Our philosophy has always been to provide fun, safe, family friendly environment, with top shelf entertainment at a reasonable price."
Ikkicon,Renaissance Austin Hotel,Austin,TX,USA,2016-01-01,2016-01-03,30.391682,-97.749623,"$35 + fee through Jul 18, 2015
$40 + fee through Sep 26, 2015
$45 + fee through Nov 28, 2015
$53.74 through Dec 19, 2015","All 3 days: $55
Fri: $40
Sat: $45
Sun: $30"," $55",," $40"," $45"," $30",http://ikkicon.com/,http://ikkicon.com/registration/,"IKKiCON LLC is a Japanese Animation and Pop-Culture Convention, held annually in Austin, Texas. IKKiCON traditionally runs for three days during the beginning of the calendar y-ear. We pride ourselves in bringing together the most amazing anime and pop-culture fans and guests to enjoy our events, panels and workshops. Since 2006, when we opened operations as an LLC, we've been working tirelessly to offer the best experience for our attendees, guests and staff. We are proud to be fan-run and fan-done, and will always put the community first to ensure we have the most successful convention possible."
