name,eventVenue,eventCity,eventState,eventCountry,eventStartDate,eventEndDate,latitude,longitude,advanceRates,atDoorRates,siteURL,registerURL,description,eventType
Cosplacon,Capitol Plaza Hotel,Jefferson City,MO,USA,2016-06-16,2016-06-19,38.578588,-92.178302,,,http://cosplacon.com/,,"Cosplacon was created in 2011. Our passion is hosting a Cosplay, Anime, Sci-fi, and Gaming convention in Mid-Missouri that people from far and wide can come to love as their own. In 2012 we hosted the first ever Capitol City Cosplay event. With over 200 people arriving up in cosplay, it was a success. In 2013 we hosted the first ever Cosplacon convention weekend and reached 600+ con-goers. In 2014 the second year was even better with 800 con goers, and great guests, we grew and had a blast. In 2015 we kinda got lazy and had only 890 attends show :( but we know why so 2016 is go to be a year not to forget.",Anime
Anime Mid-Atlantic,Chesapeake Conference Center,Chesapeake,VA,USA,2016-06-17,2016-06-19,36.789212,-76.232414,"
$35 through Sep 15, 2015
$40 through Dec 31, 2015
$45 through May 31","
All 3 days: $60
Fri: $45
Sat: $45
Sun: $25",http://animemidatlantic.com/,http://www.animemidatlantic.com/registration.html,"Anime Mid-Atlantic is an annual Japanese animation and culture convention held each year in Virginia.
Join us in June for industry guests, artistic and cultural forums, concerts and all of your favorite anime convention events.",Anime
Florida Fandomania,Havert L. Fenn Center,Fort Pierce,FL,USA,2016-06-17,2016-06-19,27.4262202,-80.3454978,"
$32.64 through Jan 6
$47
$52","
All 3 days: $52.24",http://www.floridafandomania.com/,http://www.floridafandomania.com/#!buy-tickets/ho8qm,"Florida Fandomania is an annual convention that celebrates you, the fans, and the shows, movies, music, anime and games that you love. If you have ever played a video game or watched a movie and wanted to know more about the story, the characters in it and the people who created them, then you are not just a fan, but part of a fandom!
 
Florida FandoMania, gets it, and we're all about providing what the fans want: MORE! You'll get more opportunities to connect with each other, more guests in more genres, and more ways to interact with the stories and music that made you a fan to start with.",Anime
Hamacon,Von Braun Center,Huntsville,AL,USA,2016-06-17,2016-06-19,34.726557,-86.589925,,,http://www.hama-con.com/,https://www.eventbrite.com/e/hamacon-7-tickets-19660386746,,Anime
Indy PopCon,Indiana Convention Center,Indianapolis,IN,USA,2016-06-17,2016-06-19,39.763653,-86.162982,"
$55 through Jun 16","
All 3 days: $60
Fri: $35
Sat: $40
Sun: $35",https://indypopcon.com/,https://indypopcon.com/buy-tickets/,"PopCon was founded to celebrate all aspects of pop culture, rather than just hyper focusing on a specific genre. We have a wide variety of interests - just like our fans - so we created a con to celebrate them all in one awesome weekend!",Anime
Ani-Me POP Summit,Big Fresno Fairgrounds,Fresno,CA,USA,2016-06-18,2016-06-18,36.732582,-119.7503543,"
$10 through Apr 30","
$15",http://www.ani-me.com/,http://www.ani-me.com/tickets/,"Ani-Me POP Summit is the 1st cultural convention dedicated to J-pop and K-pop in the Central Valley. Ani-Me is always striving to give the Central Valley new, refreshing, and exciting entertainment for our fans. Ani-Me POP Summit will be held at The Big Fresno Fairgrounds on Saturday, June 18, 2016 from 10 am - 12 midnight. The convention is dedicated to bringing Asian pop music, fashion, film, dance, art, games, interactive workshops, stimulating panels, anime, movies, import car show, as well as niche subcultures!",Anime
Tosho-con,East Orange Public Library,East Orange,NJ,USA,2016-06-18,2016-06-18,40.7599497,-74.2125247,,"
Free",http://evanced.info/eastorange/evanced/eventsignup.asp?ID=18202,,"Join us for our 2nd annual free comic and anime convention at the East Orange Public Library. Stop by for panels, programs, special guests, raffles, artist alley, vendors, cosplay contest, freebies, and more!",Anime
PortConMaine,"DoubleTree by Hilton Hotel Portland, ME",South Portland,ME,USA,2016-06-23,2016-06-26,43.635096,-70.3384,"
$41.99 through Jun 1","
All 4 days: $45
Thu: $30
Fri: $30
Sat: $30
Sun: $30",http://portconmaine.com/,http://www.portconmaine.com/web/index.php/registration,"PortConMaine is Maine's first, longest running, and largest convention celebrating the hobbies that enrich our lives. Join us for a celebration of geek culture interests including anime, gaming, science fiction, costuming, fantasy, video gaming, boffer combat, comics, pop culture, steampunk, and more! Come to enjoy your current favorite fandom and learn something new about another! Meet old and new friends and join the community-- let's celebrate the interests we enjoy together!

We are a four day event- so join us for four days of awesome starting Thursday and going until Sunday with plenty of events, guests, and vendors to enjoy! We also have several events within walking distance to enjoy at the same time as the convention- with contests and more occurring at the mall across the street! PortConMaine: Maine's Geek Culture Celebration!",Anime
BayouCon,West-Cal Event Center,Sulphur,LA,USA,2016-06-24,2016-06-26,30.211682,-93.382459,"
$26.49",,http://bayoucon.net/,https://register.growtix.com/e/bayou_con_2016,BayouCon is Southwest Louisiana's biggest and oldest Pop Culture and Multi-Genre convention celebrating all fandoms. This year we have a lot of great things in store.,Anime
JAFAX,Amway Grand Plaza Hotel & DeVos Place,Grand Rapids,MI,USA,2016-06-24,2016-06-26,42.9673003,-85.6744186,"
$37.50 through Dec 31, 2015
$40 through May 21","
All 3 days: $45
Fri: $20
Sat: $25
Sun: $25",http://www.jafax.org/,http://www.jafax.org/registration.html,"Welcome to JAFAX 2.0: Reboot!

JAFAX stands for Japanese Animation, Film & Art eXpo. Previous attendees and newcomers alike will enjoy panels, viewings, artists, vendors, popular guests, video and board games, contests and learning more about Japanese visual culture as we ""reboot"" JAFAX into a new type of event for 2016.
By moving to downtown Grand Rapids, JAFAX is able to provide a three day, 24 hour event. We hope you will join us in our new endeavor!",Anime
